cause_raw,year,births,deaths,suppressed_flg,death_rate,unreliable_flg,rankable,cause_clean
#Diarrhea and gastroenteritis of infectious origin (A09),2007,4316233,0,0,0,0,1,Diarrhea and gastroenteritis of infectious origin (A09)
#Diarrhea and gastroenteritis of infectious origin (A09),2008,4247726,0,0,0,0,1,Diarrhea and gastroenteritis of infectious origin (A09)
#Diarrhea and gastroenteritis of infectious origin (A09),2009,4130665,331,0,0.08,0,1,Diarrhea and gastroenteritis of infectious origin (A09)
#Diarrhea and gastroenteritis of infectious origin (A09),2010,3999386,318,0,0.08,0,1,Diarrhea and gastroenteritis of infectious origin (A09)
#Diarrhea and gastroenteritis of infectious origin (A09),2011,3953590,262,0,0.07,0,1,Diarrhea and gastroenteritis of infectious origin (A09)
#Diarrhea and gastroenteritis of infectious origin (A09),2012,3952841,245,0,0.06,0,1,Diarrhea and gastroenteritis of infectious origin (A09)
#Diarrhea and gastroenteritis of infectious origin (A09),2013,3932181,224,0,0.06,0,1,Diarrhea and gastroenteritis of infectious origin (A09)
#Diarrhea and gastroenteritis of infectious origin (A09),2014,3988076,215,0,0.05,0,1,Diarrhea and gastroenteritis of infectious origin (A09)
#Diarrhea and gastroenteritis of infectious origin (A09),2015,3978497,211,0,0.05,0,1,Diarrhea and gastroenteritis of infectious origin (A09)
#Diarrhea and gastroenteritis of infectious origin (A09),2016,3945875,212,0,0.05,0,1,Diarrhea and gastroenteritis of infectious origin (A09)
#Diarrhea and gastroenteritis of infectious origin (A09),2017,3855500,180,0,0.05,0,1,Diarrhea and gastroenteritis of infectious origin (A09)
#Diarrhea and gastroenteritis of infectious origin (A09),2018,3791712,151,0,0.04,0,1,Diarrhea and gastroenteritis of infectious origin (A09)
#Diarrhea and gastroenteritis of infectious origin (A09),2019,3747540,184,0,0.05,0,1,Diarrhea and gastroenteritis of infectious origin (A09)
#Diarrhea and gastroenteritis of infectious origin (A09),2020,3613647,137,0,0.04,0,1,Diarrhea and gastroenteritis of infectious origin (A09)
#Diarrhea and gastroenteritis of infectious origin (A09),2021,3664292,156,0,0.04,0,1,Diarrhea and gastroenteritis of infectious origin (A09)
#Diarrhea and gastroenteritis of infectious origin (A09),2022,3667758,135,0,0.04,0,1,Diarrhea and gastroenteritis of infectious origin (A09)
#Diarrhea and gastroenteritis of infectious origin (A09),2023,3596017,134,0,0.04,0,1,Diarrhea and gastroenteritis of infectious origin (A09)
#Tuberculosis (A16-A19),2007,4316233,,1,,0,1,Tuberculosis (A16-A19)
#Tuberculosis (A16-A19),2008,4247726,0,0,0,0,1,Tuberculosis (A16-A19)
#Tuberculosis (A16-A19),2009,4130665,,1,,0,1,Tuberculosis (A16-A19)
#Tuberculosis (A16-A19),2010,3999386,0,0,0,0,1,Tuberculosis (A16-A19)
#Tuberculosis (A16-A19),2011,3953590,,1,,0,1,Tuberculosis (A16-A19)
#Tuberculosis (A16-A19),2012,3952841,0,0,0,0,1,Tuberculosis (A16-A19)
#Tuberculosis (A16-A19),2013,3932181,,1,,0,1,Tuberculosis (A16-A19)
#Tuberculosis (A16-A19),2014,3988076,0,0,0,0,1,Tuberculosis (A16-A19)
#Tuberculosis (A16-A19),2015,3978497,0,0,0,0,1,Tuberculosis (A16-A19)
#Tuberculosis (A16-A19),2016,3945875,,1,,0,1,Tuberculosis (A16-A19)
#Tuberculosis (A16-A19),2017,3855500,,1,,0,1,Tuberculosis (A16-A19)
#Tuberculosis (A16-A19),2018,3791712,0,0,0,0,1,Tuberculosis (A16-A19)
#Tuberculosis (A16-A19),2019,3747540,,1,,0,1,Tuberculosis (A16-A19)
#Tuberculosis (A16-A19),2020,3613647,,1,,0,1,Tuberculosis (A16-A19)
#Tuberculosis (A16-A19),2021,3664292,,1,,0,1,Tuberculosis (A16-A19)
#Tuberculosis (A16-A19),2022,3667758,0,0,0,0,1,Tuberculosis (A16-A19)
#Tuberculosis (A16-A19),2023,3596017,0,0,0,0,1,Tuberculosis (A16-A19)
"#Tetanus (A33,A35)",2007,4316233,0,0,0,0,1,"Tetanus (A33,A35)"
"#Tetanus (A33,A35)",2008,4247726,0,0,0,0,1,"Tetanus (A33,A35)"
"#Tetanus (A33,A35)",2009,4130665,0,0,0,0,1,"Tetanus (A33,A35)"
"#Tetanus (A33,A35)",2010,3999386,0,0,0,0,1,"Tetanus (A33,A35)"
"#Tetanus (A33,A35)",2011,3953590,0,0,0,0,1,"Tetanus (A33,A35)"
"#Tetanus (A33,A35)",2012,3952841,0,0,0,0,1,"Tetanus (A33,A35)"
"#Tetanus (A33,A35)",2013,3932181,0,0,0,0,1,"Tetanus (A33,A35)"
"#Tetanus (A33,A35)",2014,3988076,0,0,0,0,1,"Tetanus (A33,A35)"
"#Tetanus (A33,A35)",2015,3978497,0,0,0,0,1,"Tetanus (A33,A35)"
"#Tetanus (A33,A35)",2016,3945875,0,0,0,0,1,"Tetanus (A33,A35)"
