Notes,ICD-10 130 Cause List (Infants),ICD-10 130 Cause List (Infants) Code,Year of Death,Year of Death Code,Deaths,Births,Death Rate
,"Certain infectious and parasitic diseases (A00-B99,U07.1)",GR130-001,2007,2007,484,4316233,0.11
,"Certain infectious and parasitic diseases (A00-B99,U07.1)",GR130-001,2008,2008,479,4247726,0.11
,"Certain infectious and parasitic diseases (A00-B99,U07.1)",GR130-001,2009,2009,729,4130665,0.18
,"Certain infectious and parasitic diseases (A00-B99,U07.1)",GR130-001,2010,2010,696,3999386,0.17
,"Certain infectious and parasitic diseases (A00-B99,U07.1)",GR130-001,2011,2011,564,3953590,0.14
,"Certain infectious and parasitic diseases (A00-B99,U07.1)",GR130-001,2012,2012,565,3952841,0.14
,"Certain infectious and parasitic diseases (A00-B99,U07.1)",GR130-001,2013,2013,515,3932181,0.13
,"Certain infectious and parasitic diseases (A00-B99,U07.1)",GR130-001,2014,2014,549,3988076,0.14
,"Certain infectious and parasitic diseases (A00-B99,U07.1)",GR130-001,2015,2015,560,3978497,0.14
,"Certain infectious and parasitic diseases (A00-B99,U07.1)",GR130-001,2016,2016,561,3945875,0.14
,"Certain infectious and parasitic diseases (A00-B99,U07.1)",GR130-001,2017,2017,515,3855500,0.13
,"Certain infectious and parasitic diseases (A00-B99,U07.1)",GR130-001,2018,2018,503,3791712,0.13
,"Certain infectious and parasitic diseases (A00-B99,U07.1)",GR130-001,2019,2019,520,3747540,0.14
,"Certain infectious and parasitic diseases (A00-B99,U07.1)",GR130-001,2020,2020,431,3613647,0.12
,"Certain infectious and parasitic diseases (A00-B99,U07.1)",GR130-001,2021,2021,534,3664292,0.15
,"Certain infectious and parasitic diseases (A00-B99,U07.1)",GR130-001,2022,2022,577,3667758,0.16
,"Certain infectious and parasitic diseases (A00-B99,U07.1)",GR130-001,2023,2023,550,3596017,0.15
,Certain intestinal infectious diseases (A00-A08),GR130-002,2007,2007,13,4316233,0.00 (Unreliable)
,Certain intestinal infectious diseases (A00-A08),GR130-002,2008,2008,12,4247726,0.00 (Unreliable)
,Certain intestinal infectious diseases (A00-A08),GR130-002,2009,2009,11,4130665,0.00 (Unreliable)
,Certain intestinal infectious diseases (A00-A08),GR130-002,2010,2010,Suppressed,3999386,Suppressed
,Certain intestinal infectious diseases (A00-A08),GR130-002,2011,2011,Suppressed,3953590,Suppressed
,Certain intestinal infectious diseases (A00-A08),GR130-002,2012,2012,Suppressed,3952841,Suppressed
,Certain intestinal infectious diseases (A00-A08),GR130-002,2013,2013,Suppressed,3932181,Suppressed
,Certain intestinal infectious diseases (A00-A08),GR130-002,2014,2014,Suppressed,3988076,Suppressed
,Certain intestinal infectious diseases (A00-A08),GR130-002,2015,2015,11,3978497,0.00 (Unreliable)
,Certain intestinal infectious diseases (A00-A08),GR130-002,2016,2016,Suppressed,3945875,Suppressed
,Certain intestinal infectious diseases (A00-A08),GR130-002,2017,2017,Suppressed,3855500,Suppressed
,Certain intestinal infectious diseases (A00-A08),GR130-002,2018,2018,10,3791712,0.00 (Unreliable)
,Certain intestinal infectious diseases (A00-A08),GR130-002,2019,2019,10,3747540,0.00 (Unreliable)
,Certain intestinal infectious diseases (A00-A08),GR130-002,2020,2020,11,3613647,0.00 (Unreliable)
,Certain intestinal infectious diseases (A00-A08),GR130-002,2021,2021,13,3664292,0.00 (Unreliable)
,Certain intestinal infectious diseases (A00-A08),GR130-002,2022,2022,11,3667758,0.00 (Unreliable)
,Certain intestinal infectious diseases (A00-A08),GR130-002,2023,2023,Suppressed,3596017,Suppressed
,#Diarrhea and gastroenteritis of infectious origin (A09),GR130-003,2007,2007,0,4316233,0
,#Diarrhea and gastroenteritis of infectious origin (A09),GR130-003,2008,2008,0,4247726,0
,#Diarrhea and gastroenteritis of infectious origin (A09),GR130-003,2009,2009,331,4130665,0.08
,#Diarrhea and gastroenteritis of infectious origin (A09),GR130-003,2010,2010,318,3999386,0.08
,#Diarrhea and gastroenteritis of infectious origin (A09),GR130-003,2011,2011,262,3953590,0.07
,#Diarrhea and gastroenteritis of infectious origin (A09),GR130-003,2012,2012,245,3952841,0.06
,#Diarrhea and gastroenteritis of infectious origin (A09),GR130-003,2013,2013,224,3932181,0.06
,#Diarrhea and gastroenteritis of infectious origin (A09),GR130-003,2014,2014,215,3988076,0.05
,#Diarrhea and gastroenteritis of infectious origin (A09),GR130-003,2015,2015,211,3978497,0.05
,#Diarrhea and gastroenteritis of infectious origin (A09),GR130-003,2016,2016,212,3945875,0.05
,#Diarrhea and gastroenteritis of infectious origin (A09),GR130-003,2017,2017,180,3855500,0.05
,#Diarrhea and gastroenteritis of infectious origin (A09),GR130-003,2018,2018,151,3791712,0.04
,#Diarrhea and gastroenteritis of infectious origin (A09),GR130-003,2019,2019,184,3747540,0.05
,#Diarrhea and gastroenteritis of infectious origin (A09),GR130-003,2020,2020,137,3613647,0.04
,#Diarrhea and gastroenteritis of infectious origin (A09),GR130-003,2021,2021,156,3664292,0.04
,#Diarrhea and gastroenteritis of infectious origin (A09),GR130-003,2022,2022,135,3667758,0.04
,#Diarrhea and gastroenteritis of infectious origin (A09),GR130-003,2023,2023,134,3596017,0.04
,#Tuberculosis (A16-A19),GR130-004,2007,2007,Suppressed,4316233,Suppressed
,#Tuberculosis (A16-A19),GR130-004,2008,2008,0,4247726,0
,#Tuberculosis (A16-A19),GR130-004,2009,2009,Suppressed,4130665,Suppressed
,#Tuberculosis (A16-A19),GR130-004,2010,2010,0,3999386,0
,#Tuberculosis (A16-A19),GR130-004,2011,2011,Suppressed,3953590,Suppressed
,#Tuberculosis (A16-A19),GR130-004,2012,2012,0,3952841,0
,#Tuberculosis (A16-A19),GR130-004,2013,2013,Suppressed,3932181,Suppressed
,#Tuberculosis (A16-A19),GR130-004,2014,2014,0,3988076,0
,#Tuberculosis (A16-A19),GR130-004,2015,2015,0,3978497,0
,#Tuberculosis (A16-A19),GR130-004,2016,2016,Suppressed,3945875,Suppressed
,#Tuberculosis (A16-A19),GR130-004,2017,2017,Suppressed,3855500,Suppressed
,#Tuberculosis (A16-A19),GR130-004,2018,2018,0,3791712,0
,#Tuberculosis (A16-A19),GR130-004,2019,2019,Suppressed,3747540,Suppressed
,#Tuberculosis (A16-A19),GR130-004,2020,2020,Suppressed,3613647,Suppressed
,#Tuberculosis (A16-A19),GR130-004,2021,2021,Suppressed,3664292,Suppressed
,#Tuberculosis (A16-A19),GR130-004,2022,2022,0,3667758,0
,#Tuberculosis (A16-A19),GR130-004,2023,2023,0,3596017,0
,"#Tetanus (A33,A35)",GR130-005,2007,2007,0,4316233,0
,"#Tetanus (A33,A35)",GR130-005,2008,2008,0,4247726,0
,"#Tetanus (A33,A35)",GR130-005,2009,2009,0,4130665,0
,"#Tetanus (A33,A35)",GR130-005,2010,2010,0,3999386,0
,"#Tetanus (A33,A35)",GR130-005,2011,2011,0,3953590,0
,"#Tetanus (A33,A35)",GR130-005,2012,2012,0,3952841,0
,"#Tetanus (A33,A35)",GR130-005,2013,2013,0,3932181,0
,"#Tetanus (A33,A35)",GR130-005,2014,2014,0,3988076,0
,"#Tetanus (A33,A35)",GR130-005,2015,2015,0,3978497,0
,"#Tetanus (A33,A35)",GR130-005,2016,2016,0,3945875,0
,"#Tetanus (A33,A35)",GR130-005,2017,2017,0,3855500,0
,"#Tetanus (A33,A35)",GR130-005,2018,2018,0,3791712,0
,"#Tetanus (A33,A35)",GR130-005,2019,2019,0,3747540,0
,"#Tetanus (A33,A35)",GR130-005,2020,2020,0,3613647,0
,"#Tetanus (A33,A35)",GR130-005,2021,2021,0,3664292,0
,"#Tetanus (A33,A35)",GR130-005,2022,2022,0,3667758,0
,"#Tetanus (A33,A35)",GR130-005,2023,2023,0,3596017,0
,#Diphtheria (A36),GR130-006,2007,2007,0,4316233,0
,#Diphtheria (A36),GR130-006,2008,2008,0,4247726,0
,#Diphtheria (A36),GR130-006,2009,2009,0,4130665,0
,#Diphtheria (A36),GR130-006,2010,2010,0,3999386,0
,#Diphtheria (A36),GR130-006,2011,2011,0,3953590,0
,#Diphtheria (A36),GR130-006,2012,2012,0,3952841,0
,#Diphtheria (A36),GR130-006,2013,2013,0,3932181,0
,#Diphtheria (A36),GR130-006,2014,2014,0,3988076,0
,#Diphtheria (A36),GR130-006,2015,2015,0,3978497,0
,#Diphtheria (A36),GR130-006,2016,2016,0,3945875,0
,#Diphtheria (A36),GR130-006,2017,2017,0,3855500,0
,#Diphtheria (A36),GR130-006,2018,2018,0,3791712,0
,#Diphtheria (A36),GR130-006,2019,2019,0,3747540,0
,#Diphtheria (A36),GR130-006,2020,2020,0,3613647,0
,#Diphtheria (A36),GR130-006,2021,2021,0,3664292,0
,#Diphtheria (A36),GR130-006,2022,2022,0,3667758,0
,#Diphtheria (A36),GR130-006,2023,2023,0,3596017,0
,#Whooping cough (A37),GR130-007,2007,2007,Suppressed,4316233,Suppressed
,#Whooping cough (A37),GR130-007,2008,2008,18,4247726,0.00 (Unreliable)
,#Whooping cough (A37),GR130-007,2009,2009,13,4130665,0.00 (Unreliable)
,#Whooping cough (A37),GR130-007,2010,2010,24,3999386,0.01
,#Whooping cough (A37),GR130-007,2011,2011,Suppressed,3953590,Suppressed
,#Whooping cough (A37),GR130-007,2012,2012,15,3952841,0.00 (Unreliable)
,#Whooping cough (A37),GR130-007,2013,2013,10,3932181,0.00 (Unreliable)
,#Whooping cough (A37),GR130-007,2014,2014,10,3988076,0.00 (Unreliable)
,#Whooping cough (A37),GR130-007,2015,2015,Suppressed,3978497,Suppressed
,#Whooping cough (A37),GR130-007,2016,2016,Suppressed,3945875,Suppressed
,#Whooping cough (A37),GR130-007,2017,2017,Suppressed,3855500,Suppressed
,#Whooping cough (A37),GR130-007,2018,2018,Suppressed,3791712,Suppressed
,#Whooping cough (A37),GR130-007,2019,2019,Suppressed,3747540,Suppressed
,#Whooping cough (A37),GR130-007,2020,2020,Suppressed,3613647,Suppressed
,#Whooping cough (A37),GR130-007,2021,2021,Suppressed,3664292,Suppressed
,#Whooping cough (A37),GR130-007,2022,2022,Suppressed,3667758,Suppressed
,#Whooping cough (A37),GR130-007,2023,2023,Suppressed,3596017,Suppressed
,#Meningococcal infection (A39),GR130-008,2007,2007,11,4316233,0.00 (Unreliable)
,#Meningococcal infection (A39),GR130-008,2008,2008,Suppressed,4247726,Suppressed
,#Meningococcal infection (A39),GR130-008,2009,2009,11,4130665,0.00 (Unreliable)
,#Meningococcal infection (A39),GR130-008,2010,2010,11,3999386,0.00 (Unreliable)
,#Meningococcal infection (A39),GR130-008,2011,2011,Suppressed,3953590,Suppressed
,#Meningococcal infection (A39),GR130-008,2012,2012,Suppressed,3952841,Suppressed
,#Meningococcal infection (A39),GR130-008,2013,2013,Suppressed,3932181,Suppressed
,#Meningococcal infection (A39),GR130-008,2014,2014,Suppressed,3988076,Suppressed
,#Meningococcal infection (A39),GR130-008,2015,2015,Suppressed,3978497,Suppressed
,#Meningococcal infection (A39),GR130-008,2016,2016,Suppressed,3945875,Suppressed
,#Meningococcal infection (A39),GR130-008,2017,2017,Suppressed,3855500,Suppressed
,#Meningococcal infection (A39),GR130-008,2018,2018,Suppressed,3791712,Suppressed
,#Meningococcal infection (A39),GR130-008,2019,2019,Suppressed,3747540,Suppressed
,#Meningococcal infection (A39),GR130-008,2020,2020,Suppressed,3613647,Suppressed
,#Meningococcal infection (A39),GR130-008,2021,2021,Suppressed,3664292,Suppressed
,#Meningococcal infection (A39),GR130-008,2022,2022,Suppressed,3667758,Suppressed
,#Meningococcal infection (A39),GR130-008,2023,2023,0,3596017,0
,#Septicemia (A40-A41),GR130-009,2007,2007,284,4316233,0.07
,#Septicemia (A40-A41),GR130-009,2008,2008,291,4247726,0.07
,#Septicemia (A40-A41),GR130-009,2009,2009,223,4130665,0.05
