Notes,State,State Code,Year of Death,Year of Death Code,Deaths,Births,Death Rate
,Alabama,01,2007,2007,644,64804,9.94
,Alabama,01,2008,2008,611,64546,9.47
,Alabama,01,2009,2009,517,62475,8.28
,Alabama,01,2010,2010,524,60050,8.73
,Alabama,01,2011,2011,488,59354,8.22
,Alabama,01,2012,2012,519,58448,8.88
,Alabama,01,2013,2013,500,58167,8.6
,Alabama,01,2014,2014,515,59422,8.67
,Alabama,01,2015,2015,496,59657,8.31
,Alabama,01,2016,2016,534,59151,9.03
,Alabama,01,2017,2017,435,58941,7.38
,Alabama,01,2018,2018,401,57761,6.94
,Alabama,01,2019,2019,452,58615,7.71
,Alabama,01,2020,2020,403,57647,6.99
,Alabama,01,2021,2021,439,58054,7.56
,Alabama,01,2022,2022,389,58149,6.69
,Alabama,01,2023,2023,442,57858,7.64
Total,Alabama,01,,,8310,1013099,8.2
,Alaska,02,2007,2007,73,11052,6.61
,Alaska,02,2008,2008,69,11442,6.03
,Alaska,02,2009,2009,78,11324,6.89
,Alaska,02,2010,2010,41,11471,3.57
,Alaska,02,2011,2011,44,11456,3.84
,Alaska,02,2012,2012,57,11187,5.1
,Alaska,02,2013,2013,66,11446,5.77
,Alaska,02,2014,2014,76,11392,6.67
,Alaska,02,2015,2015,78,11282,6.91
,Alaska,02,2016,2016,58,11209,5.17
,Alaska,02,2017,2017,60,10445,5.74
,Alaska,02,2018,2018,63,10086,6.25
,Alaska,02,2019,2019,49,9822,4.99
,Alaska,02,2020,2020,48,9469,5.07
,Alaska,02,2021,2021,69,9367,7.37
,Alaska,02,2022,2022,62,9359,6.62
,Alaska,02,2023,2023,65,9015,7.21
Total,Alaska,02,,,1056,180824,5.84
,Arizona,04,2007,2007,707,102981,6.87
,Arizona,04,2008,2008,635,99442,6.39
,Arizona,04,2009,2009,554,92798,5.97
,Arizona,04,2010,2010,520,87477,5.94
,Arizona,04,2011,2011,511,85543,5.97
,Arizona,04,2012,2012,500,86441,5.78
,Arizona,04,2013,2013,449,85600,5.25
,Arizona,04,2014,2014,530,86887,6.1
,Arizona,04,2015,2015,467,85351,5.47
,Arizona,04,2016,2016,450,84520,5.32
,Arizona,04,2017,2017,467,81872,5.7
,Arizona,04,2018,2018,461,80723,5.71
,Arizona,04,2019,2019,431,79375,5.43
,Arizona,04,2020,2020,399,76947,5.19
,Arizona,04,2021,2021,426,77916,5.47
,Arizona,04,2022,2022,485,78547,6.17
,Arizona,04,2023,2023,433,78096,5.54
Total,Arizona,04,,,8425,1450516,5.81
,Arkansas,05,2007,2007,323,41378,7.81
,Arkansas,05,2008,2008,300,40669,7.38
,Arkansas,05,2009,2009,301,39808,7.56
,Arkansas,05,2010,2010,279,38540,7.24
,Arkansas,05,2011,2011,282,38715,7.28
,Arkansas,05,2012,2012,271,38347,7.07
,Arkansas,05,2013,2013,297,37832,7.85
,Arkansas,05,2014,2014,288,38511,7.48
,Arkansas,05,2015,2015,293,38886,7.53
,Arkansas,05,2016,2016,314,38274,8.2
,Arkansas,05,2017,2017,304,37520,8.1
,Arkansas,05,2018,2018,278,37018,7.51
,Arkansas,05,2019,2019,256,36564,7
,Arkansas,05,2020,2020,260,35251,7.38
,Arkansas,05,2021,2021,309,35965,8.59
,Arkansas,05,2022,2022,272,35471,7.67
,Arkansas,05,2023,2023,290,35264,8.22
Total,Arkansas,05,,,4921,644013,7.64
,California,06,2007,2007,2947,566414,5.2
,California,06,2008,2008,2822,551804,5.11
,California,06,2009,2009,2590,527020,4.91
,California,06,2010,2010,2417,510198,4.74
,California,06,2011,2011,2403,502120,4.79
,California,06,2012,2012,2244,503755,4.45
,California,06,2013,2013,2354,494705,4.76
,California,06,2014,2014,2173,502879,4.32
,California,06,2015,2015,2178,491748,4.43
,California,06,2016,2016,2063,488827,4.22
,California,06,2017,2017,1981,471658,4.2
,California,06,2018,2018,1917,454920,4.21
,California,06,2019,2019,1889,446479,4.23
,California,06,2020,2020,1648,420259,3.92
,California,06,2021,2021,1713,420608,4.07
,California,06,2022,2022,1724,419104,4.11
,California,06,2023,2023,1642,400108,4.1
Total,California,06,,,36702,8172606,4.49
,Colorado,08,2007,2007,434,70809,6.13
,Colorado,08,2008,2008,435,70031,6.21
,Colorado,08,2009,2009,428,68628,6.24
,Colorado,08,2010,2010,392,66355,5.91
,Colorado,08,2011,2011,358,65055,5.5
,Colorado,08,2012,2012,297,65187,4.56
,Colorado,08,2013,2013,333,65007,5.12
,Colorado,08,2014,2014,315,65830,4.79
,Colorado,08,2015,2015,310,66581,4.66
,Colorado,08,2016,2016,317,66613,4.76
,Colorado,08,2017,2017,289,64382,4.49
