Notes,Mother's Bridged Race/Hispanic Origin,Mother's Bridged Race/Hispanic Origin Code,Year of Death,Year of Death Code,Deaths,Births,Death Rate
,Mexican,2148-5,2007,2007,3914,722055,5.42
,Mexican,2148-5,2008,2008,3822,684883,5.58
,Mexican,2148-5,2009,2009,3302,645297,5.12
,Mexican,2148-5,2010,2010,3061,598317,5.12
,Mexican,2148-5,2011,2011,2830,566699,4.99
,Mexican,2148-5,2012,2012,2789,555823,5.02
,Mexican,2148-5,2013,2013,2672,545202,4.9
,Mexican,2148-5,2014,2014,2646,545977,4.85
,Mexican,2148-5,2015,2015,2658,546169,4.87
,Mexican,2148-5,2016,2016,2657,535993,4.96
,Mexican,2148-5,2017,2017,2588,512126,5.05
,Mexican,2148-5,2018,2018,2426,495831,4.89
,Mexican,2148-5,2019,2019,2462,496716,4.96
,Mexican,2148-5,2020,2020,2264,480531,4.71
,Mexican,2148-5,2021,2021,2380,485127,4.91
,Mexican,2148-5,2022,2022,2442,510194,4.79
,Mexican,2148-5,2023,2023,2601,508127,5.12
Total,Mexican,2148-5,,,47513,9435067,5.04
,Puerto Rican,2180-8,2007,2007,528,68488,7.71
,Puerto Rican,2180-8,2008,2008,503,69015,7.29
,Puerto Rican,2180-8,2009,2009,492,68486,7.18
,Puerto Rican,2180-8,2010,2010,471,66368,7.1
,Puerto Rican,2180-8,2011,2011,526,67018,7.85
,Puerto Rican,2180-8,2012,2012,461,67182,6.86
,Puerto Rican,2180-8,2013,2013,405,68302,5.93
,Puerto Rican,2180-8,2014,2014,506,69879,7.24
,Puerto Rican,2180-8,2015,2015,456,70987,6.42
,Puerto Rican,2180-8,2016,2016,432,70517,6.13
,Puerto Rican,2180-8,2017,2017,459,70813,6.48
,Puerto Rican,2180-8,2018,2018,402,71614,5.61
,Puerto Rican,2180-8,2019,2019,438,70950,6.17
,Puerto Rican,2180-8,2020,2020,437,69763,6.26
,Puerto Rican,2180-8,2021,2021,428,70729,6.05
,Puerto Rican,2180-8,2022,2022,438,69266,6.32
,Puerto Rican,2180-8,2023,2023,426,66203,6.43
Total,Puerto Rican,2180-8,,,7808,1175580,6.64
,Cuban,2182-4,2007,2007,88,16981,5.18
,Cuban,2182-4,2008,2008,82,16718,4.9
,Cuban,2182-4,2009,2009,96,16641,5.77
,Cuban,2182-4,2010,2010,64,16882,3.79
,Cuban,2182-4,2011,2011,74,17131,4.32
,Cuban,2182-4,2012,2012,87,17396,5
,Cuban,2182-4,2013,2013,57,18854,3.02
,Cuban,2182-4,2014,2014,79,20163,3.92
,Cuban,2182-4,2015,2015,89,21107,4.22
,Cuban,2182-4,2016,2016,85,22573,3.77
,Cuban,2182-4,2017,2017,93,23362,3.98
,Cuban,2182-4,2018,2018,90,23471,3.83
,Cuban,2182-4,2019,2019,98,23668,4.14
,Cuban,2182-4,2020,2020,98,23188,4.23
,Cuban,2182-4,2021,2021,87,24437,3.56
,Cuban,2182-4,2022,2022,104,26390,3.94
,Cuban,2182-4,2023,2023,113,30001,3.77
Total,Cuban,2182-4,,,1485,358963,4.14
,Central or South American,4,2007,2007,777,169851,4.57
,Central or South American,4,2008,2008,740,155578,4.76
,Central or South American,4,2009,2009,665,148647,4.47
,Central or South American,4,2010,2010,632,142692,4.43
,Central or South American,4,2011,2011,593,136221,4.35
,Central or South American,4,2012,2012,546,131794,4.14
,Central or South American,4,2013,2013,565,131305,4.3
,Central or South American,4,2014,2014,581,136656,4.25
,Central or South American,4,2015,2015,573,142249,4.03
,Central or South American,4,2016,2016,626,143983,4.35
,Central or South American,4,2017,2017,653,145614,4.48
,Central or South American,4,2018,2018,592,147430,4.02
,Central or South American,4,2019,2019,749,165229,4.53
,Central or South American,4,2020,2020,659,169811,3.88
,Central or South American,4,2021,2021,748,178067,4.2
,Central or South American,4,2022,2022,907,207843,4.36
,Central or South American,4,2023,2023,958,208618,4.59
Total,Central or South American,4,,,11564,2661588,4.34
,Other and Unknown Hispanic,5,2007,2007,548,85404,6.42
,Other and Unknown Hispanic,5,2008,2008,674,115045,5.86
,Other and Unknown Hispanic,5,2009,2009,730,120477,6.06
,Other and Unknown Hispanic,5,2010,2010,736,120921,6.09
,Other and Unknown Hispanic,5,2011,2011,709,131060,5.41
,Other and Unknown Hispanic,5,2012,2012,758,135482,5.59
,Other and Unknown Hispanic,5,2013,2013,808,137370,5.88
,Other and Unknown Hispanic,5,2014,2014,767,141390,5.42
,Other and Unknown Hispanic,5,2015,2015,807,143536,5.62
,Other and Unknown Hispanic,5,2016,2016,755,145381,5.19
,Other and Unknown Hispanic,5,2017,2017,790,146849,5.38
,Other and Unknown Hispanic,5,2018,2018,793,147864,5.36
,Other and Unknown Hispanic,5,2019,2019,715,129904,5.5
,Other and Unknown Hispanic,5,2020,2020,605,123420,4.9
,Other and Unknown Hispanic,5,2021,2021,603,127556,4.73
,Other and Unknown Hispanic,5,2022,2022,690,123728,5.58
,Other and Unknown Hispanic,5,2023,2023,652,132251,4.93
Total,Other and Unknown Hispanic,5,,,12137,2207638,5.5
,Non-Hispanic White,6,2007,2007,13005,2310333,5.63
,Non-Hispanic White,6,2008,2008,12509,2267817,5.52
,Non-Hispanic White,6,2009,2009,11785,2212552,5.33
,Non-Hispanic White,6,2010,2010,11192,2162406,5.18
,Non-Hispanic White,6,2011,2011,10886,2146566,5.07
,Non-Hispanic White,6,2012,2012,10759,2134044,5.04
,Non-Hispanic White,6,2013,2013,10766,2129196,5.06
,Non-Hispanic White,6,2014,2014,10515,2149302,4.89
,Non-Hispanic White,6,2015,2015,10444,2130279,4.9
,Non-Hispanic White,6,2016,2016,10204,2094054,4.87
,Non-Hispanic White,6,2017,2017,9520,2030493,4.69
,Non-Hispanic White,6,2018,2018,9334,1994985,4.68
,Non-Hispanic White,6,2019,2019,8825,1954153,4.52
,Non-Hispanic White,6,2020,2020,0,0,0
,Non-Hispanic White,6,2021,2021,0,0,0
,Non-Hispanic White,6,2022,2022,0,0,0
,Non-Hispanic White,6,2023,2023,0,0,0
Total,Non-Hispanic White,6,,,139744,27716180,5.04
,Non-Hispanic Black,7,2007,2007,8351,627191,13.31
,Non-Hispanic Black,7,2008,2008,7894,623031,12.67
,Non-Hispanic Black,7,2009,2009,7560,609584,12.4
,Non-Hispanic Black,7,2010,2010,6758,589808,11.46
,Non-Hispanic Black,7,2011,2011,6670,582345,11.45
,Non-Hispanic Black,7,2012,2012,6528,583489,11.19
,Non-Hispanic Black,7,2013,2013,6488,583834,11.11
,Non-Hispanic Black,7,2014,2014,6435,588891,10.93
,Non-Hispanic Black,7,2015,2015,6624,589047,11.25
,Non-Hispanic Black,7,2016,2016,6545,583786,11.21
,Non-Hispanic Black,7,2017,2017,6390,587357,10.88
,Non-Hispanic Black,7,2018,2018,6152,579174,10.62
,Non-Hispanic Black,7,2019,2019,6035,576685,10.46
,Non-Hispanic Black,7,2020,2020,0,0,0
,Non-Hispanic Black,7,2021,2021,0,0,0
,Non-Hispanic Black,7,2022,2022,0,0,0
,Non-Hispanic Black,7,2023,2023,0,0,0
