state,births,year,deaths,suppressed_flg,death_rate,unreliable_flg,region
Alabama,64804,2007,644,0,9.94,0,South
Alabama,64546,2008,611,0,9.47,0,South
Alabama,62475,2009,517,0,8.28,0,South
Alabama,60050,2010,524,0,8.73,0,South
Alabama,59354,2011,488,0,8.22,0,South
Alabama,58448,2012,519,0,8.88,0,South
Alabama,58167,2013,500,0,8.6,0,South
Alabama,59422,2014,515,0,8.67,0,South
Alabama,59657,2015,496,0,8.31,0,South
Alabama,59151,2016,534,0,9.03,0,South
Alabama,58941,2017,435,0,7.38,0,South
Alabama,57761,2018,401,0,6.94,0,South
Alabama,58615,2019,452,0,7.71,0,South
Alabama,57647,2020,403,0,6.99,0,South
Alabama,58054,2021,439,0,7.56,0,South
Alabama,58149,2022,389,0,6.69,0,South
Alabama,57858,2023,442,0,7.64,0,South
Alaska,11052,2007,73,0,6.61,0,West
Alaska,11442,2008,69,0,6.03,0,West
Alaska,11324,2009,78,0,6.89,0,West
Alaska,11471,2010,41,0,3.57,0,West
Alaska,11456,2011,44,0,3.84,0,West
Alaska,11187,2012,57,0,5.1,0,West
Alaska,11446,2013,66,0,5.77,0,West
Alaska,11392,2014,76,0,6.67,0,West
Alaska,11282,2015,78,0,6.91,0,West
Alaska,11209,2016,58,0,5.17,0,West
Alaska,10445,2017,60,0,5.74,0,West
Alaska,10086,2018,63,0,6.25,0,West
Alaska,9822,2019,49,0,4.99,0,West
Alaska,9469,2020,48,0,5.07,0,West
Alaska,9367,2021,69,0,7.37,0,West
Alaska,9359,2022,62,0,6.62,0,West
Alaska,9015,2023,65,0,7.21,0,West
Arizona,102981,2007,707,0,6.87,0,West
Arizona,99442,2008,635,0,6.39,0,West
Arizona,92798,2009,554,0,5.97,0,West
Arizona,87477,2010,520,0,5.94,0,West
Arizona,85543,2011,511,0,5.97,0,West
Arizona,86441,2012,500,0,5.78,0,West
Arizona,85600,2013,449,0,5.25,0,West
Arizona,86887,2014,530,0,6.1,0,West
Arizona,85351,2015,467,0,5.47,0,West
Arizona,84520,2016,450,0,5.32,0,West
Arizona,81872,2017,467,0,5.7,0,West
Arizona,80723,2018,461,0,5.71,0,West
Arizona,79375,2019,431,0,5.43,0,West
Arizona,76947,2020,399,0,5.19,0,West
Arizona,77916,2021,426,0,5.47,0,West
Arizona,78547,2022,485,0,6.17,0,West
Arizona,78096,2023,433,0,5.54,0,West
Arkansas,41378,2007,323,0,7.81,0,South
Arkansas,40669,2008,300,0,7.38,0,South
Arkansas,39808,2009,301,0,7.56,0,South
Arkansas,38540,2010,279,0,7.24,0,South
Arkansas,38715,2011,282,0,7.28,0,South
Arkansas,38347,2012,271,0,7.07,0,South
Arkansas,37832,2013,297,0,7.85,0,South
Arkansas,38511,2014,288,0,7.48,0,South
Arkansas,38886,2015,293,0,7.53,0,South
Arkansas,38274,2016,314,0,8.2,0,South
Arkansas,37520,2017,304,0,8.1,0,South
Arkansas,37018,2018,278,0,7.51,0,South
Arkansas,36564,2019,256,0,7,0,South
Arkansas,35251,2020,260,0,7.38,0,South
Arkansas,35965,2021,309,0,8.59,0,South
Arkansas,35471,2022,272,0,7.67,0,South
Arkansas,35264,2023,290,0,8.22,0,South
California,566414,2007,2947,0,5.2,0,West
